Produit;valeur energetique KJ);quantité d’acides gras satures (g);quantite de sucres (g);quantite de Sodium (mg/g);quantite de proteines (g);quantite de Fibres (g);teneur en Fruits/Legumes/Fruits a coques;Score issue de nutri Score;label nutri Score;Green label;green score;Bio or no;Nombre d'aditif;URL
FIBRES – Wasa – 230 g;1397;1.0;2.0;4.8;12.0;26.0;0.0;0.0;a;a;91.0;Non;0;https://world.openfoodfacts.org/product/7300400481588/fine-rye-crispbread-fibre-wasa
14 Maxi Tranches complet sans sucres ajoutés – Jacquet – 550 g;1026;0.3;3.8;4.8;8.7;6.6;0.0;2.0;b;a;83.0;Non;0;https://world.openfoodfacts.org/product/3029330022428/14-maxi-tranches-complet-sans-sucres-ajoutes-jacquet
cruesly mélange de noix – Quaker – 450 g;1913;2.0;12.0;0.0;8.5;10.0;10.7;1.0;b;b;66.0;Non;1;https://world.openfoodfacts.org/product/3168930010265/cruesli-mixed-nuts-quaker
Weetabix produit à base de blé complet 100% – Weetabix – 430g;1516;0.53;4.2;1.04;12.0;10.0;0.0;-3.0;a;d;39.0;Non;0;https://world.openfoodfacts.org/product/5010029000023/weetabix
Muesli Raisin, Figue, Abricot – Bjorg – 375 g;1485;0.9;14.0;0.12;11.0;10.0;24.5;-2.0;a;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3229820129488/muesli-raisin-figue-abricot-bjorg
pain de mie grandes tranches spécial sandwich complet – Lidl,Maître Jean Pierre – 750 g;1089;0.5;5.0;4.0;8.3;6.3;4.5;2.0;b;b;74.0;Non;1;https://world.openfoodfacts.org/product/4056489007180/pepsil-lidl
Cracotte Céréales Complètes – lu, LU – 250;1591;1.0;7.9;6.4;11.0;5.4;0.0;10.0;c;b;64.0;Non;0;https://world.openfoodfacts.org/product/3041090063206/cracotte-cereales-completes-lu
Special Muesli 30% fruits & noix – Jordans – 750 g;1523;2.0;17.0;0.12;10.0;8.8;33.3125;0.0;a;b;73.0;Non;0;https://world.openfoodfacts.org/product/5010477348678/special-muesli-30-fruits-noix-jordans
Harrys brioche tressee nature au sucre perle sans additifs 500g – Harrys – 500 g;1496;1.0;13.0;3.2;8.6;4.5;10.8;5.0;c;c;47.0;Non;0;https://world.openfoodfacts.org/product/3228857001231/brioche-tressee-a-la-main-sans-additifs-harrys
Tartines craquantes quinoa - pois chiche sans gluten – Jardin Bio;1603;0.5;0.6;2.0;9.6;4.7;0.0;1.0;b;a;95.0;Oui;0;https://world.openfoodfacts.org/product/06153153/tartines-craquantes-quinoa-pois-chiche-sans-gluten-jardin-bio
100% mie complet 500g – Harry's – 500 g;1053;0.4;5.5;4.4;7.5;6.5;5.2625;2.0;b;a;84.0;Non;0;https://world.openfoodfacts.org/product/3228857000166/100-mie-complet-volkoren-harry-s
MULTISEED WHOLEMEAL FARMHOUSE LOAF – Sainsbury's taste the difference – 800g;1136;1.1;4.2;3.3600000000000003;12.8;7.4;0.405000000000001;0.0;a;a;75.0;Non;1;https://world.openfoodfacts.org/product/01318180/multiseed-wholemeal-farmhouse-loaf-sainsbury-s-taste-the-difference
Biscottes 6 Céréales – Heudebert – 300 g;1698;2.4;3.4;6.4;13.0;5.0;0.0;12.0;d;a;77.0;Non;3;https://world.openfoodfacts.org/product/3392460480827/biscottes-6-cereales-heudebert
Sablés Anglais L'Original – McVitie's,United Biscuits – 400 g;2025;10.1;15.1;5.2;7.0;3.7;0.0;25.0;e;c;53.0;Non;3;https://world.openfoodfacts.org/product/5000168198491/digestive-biscuits-mcvitie-s
Brioche moins de sucre – Harrys – 485 g;1354;1.1;9.3;4.0;8.4;7.2;8.859375;7.0;c;c;49.0;Non;0;https://world.openfoodfacts.org/product/3228857001378/brioche-moins-de-sucre-harrys
Pain de mie Bio grandes tranches céréales & graines 500g – La Boulangère – 500 g;1306;0.9;4.9;4.0;9.2;4.0;0.0;4.0;c;a;91.0;Oui;1;https://world.openfoodfacts.org/product/3760049794298/pain-de-mie-bio-grandes-tranches-cereales-graines-500g-la-boulangere
Flocons d'avoine complète – Quaker – 550 g;1570;1.5;1.1;0.04;11.0;9.0;0.0;-4.0;a;a;76.0;Non;0;https://world.openfoodfacts.org/product/3168930009078/flocons-d-avoine-complete-quaker
Country Crisp 4 noix – Jordans – 550 g;1949;2.6;18.0;0.12;11.0;6.1;16.25;9.0;c;e;29.0;Non;0;https://world.openfoodfacts.org/product/5010477348357/country-crisp-jordans
Maizena Fleur de Maïs Sans Gluten 400g – Maïzena, Unilever – 400 g;1487;0.1;0.5;0.04;0.5;1.0;0.0;4.0;c;a;85.0;Non;0;https://world.openfoodfacts.org/product/8712100338694/cornstarch-maizena
Harrys pain de mie 100% mie nature sans croute 500g – Harrys – 500 g;1115;0.3;7.0;4.4;7.0;4.0;4.05000000000001;7.0;c;a;86.0;Non;0;https://world.openfoodfacts.org/product/3228857000852/pain-de-mie-sans-croute-harrys
6 Wraps blé complet – Old El Paso – 350 g;1240;1.03;2.24;4.21;9.14;5.17;0.0;4.0;c;a;78.0;Non;4;https://world.openfoodfacts.org/product/8410076470812/6-wraps-ble-complet-old-el-paso
Grilletine au froment sans sucres ajoutés – brioche pasquier – 255 g;1791;2.0;1.7;3.56;13.0;7.4;0.0;1.0;b;a;90.0;Non;2;https://world.openfoodfacts.org/product/3182180001477/grilletine-au-froment-sans-sucres-ajoutes-brioche-pasquier
NESTLE CHOCAPIC BIO Céréales 375g – Nestlé,Chocapic – 375 g;1648;1.6;19.9;0.8;9.1;8.2;0.0;2.0;b;c;50.0;Oui;0;https://world.openfoodfacts.org/product/7613036669146/nestle-chocapic-cereal-organic-375g-13-3oz
Céréales Chocapic – Nestlé,Chocapic – 430 g;1638;2.0;22.4;0.8799999999999999;8.8;7.5;0.0;7.0;c;e;29.0;Non;1;https://world.openfoodfacts.org/product/7613034626844/chocapic-cereals-nestle
Belvita Petit Déjeuner Chocolat – LU,Mondelez – 400 g;1846;3.6;27.0;2.48;7.9;6.8;7.5;14.0;d;d;44.0;Non;6;https://world.openfoodfacts.org/product/7622210713780/belvita-petit-dejeuner-chocolat-lu
Harrys beau & bon pain de mie farine de ble cereales & graines 320g – Harrys – 320 g;1206;0.7;3.5;4.0;12.0;6.0;7.125;1.0;b;a;80.0;Non;0;https://world.openfoodfacts.org/product/3228857001194/harrys-beau-bon-pain-de-mie-farine-de-ble-cereales-graines-320g
Country Crisp - Chocolat noir 70% cacao – Jordans – 550 g;1902;4.6;20.8;0.12;9.2;6.0;0.0;12.0;d;e;29.0;Non;1;https://world.openfoodfacts.org/product/5010477348395/country-crisp-chocolat-noir-70-cacao-jordans
Gnocchi à poêler – Lustucru,Lustucru selection – 325 g;801;0.3;1.5;4.4;5.0;2.6;5.20833333333333;5.0;c;a;82.0;Non;0;https://world.openfoodfacts.org/product/3240931548111/gnocchi-a-poeler-lustucru
Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres de 30 g – General Mills France,Nature valley – 150 g ℮;1940;8.8;23.3;3.72;9.5;10.1;24.8886010684178;18.0;d;d;39.0;Non;4;https://world.openfoodfacts.org/product/8410076610621/sweet-salty-nut-chocolat-noir-et-melange-de-noix-5-barres-de-30-g-general-mills-france
Shredded wheat – Nestlé, Nestlé UK Ltd – 675g;1522;0.5;0.7;0.2;12.2;12.2;0.0;-6.0;a;d;40.0;Non;0;https://world.openfoodfacts.org/product/7613031473113/original-shredded-wheat-nestle
Cruesli Chocolat noir – Quaker – 450 g;1906;4.9;16.0;1.92;8.1;10.0;0.95;10.0;c;e;25.0;Non;3;https://world.openfoodfacts.org/product/3168930010906/cruesli-chocolat-noir-quaker
Country Crisp 4 Baies – Jordans – 550 g;1818;1.8;20.0;0.12;9.1;6.0;4.92857142857144;8.0;c;b;66.0;Non;0;https://world.openfoodfacts.org/product/5010477348517/country-crisp-4-baies-jordans
Belvita Brut & 5 céréales complètes – Lu – 400 gram;1833;1.4;22.0;5.6000000000000005;7.8;6.1;7.625;15.0;d;c;54.0;Non;5;https://world.openfoodfacts.org/product/7622210713926/belvita-brut-amp-5-cereales-completes-lu
Avoine - Boisson biologique – Bjorg – 1;187;0.3;4.0;0.36;0.5;0.5;0.0;6.0;c;a;82.0;Oui;0;https://world.openfoodfacts.org/product/3229820792132/avoine-boisson-biologique-bjorg
Copos de avena – Brüggen – 500 g;1580;1.3;0.7;0.08;14.0;10.0;0.0;-5.0;a;a;76.0;Non;0;https://world.openfoodfacts.org/product/4008713756661/copos-de-avena-bruggen
Tartines de Pain Blé Complet – Brioche Pasquier – 240 g (24 tr);1615;0.8;4.2;6.0;13.0;8.7;0.0;7.0;c;a;80.0;Non;1;https://world.openfoodfacts.org/product/3182180060320/tartines-de-pain-ble-complet-brioche-pasquier
NESTLE CHOCAPIC Céréales 375g – Nestlé, Chocapic – 375 g;1624;1.1;19.9;0.8;8.5;7.7;0.0;2.0;b;d;41.0;Non;1;https://world.openfoodfacts.org/product/3387390123210/nestle-chocapic-cereales-375g
Pain AMS complet – Harrys – 600 g;1100;0.4;4.9;4.8;7.7;7.2;14.4151515151515;2.0;b;a;85.0;Non;0;https://world.openfoodfacts.org/product/3228857000906/pain-ams-complet-harrys
Tartines céréales 450g – La Boulangère – 450 g;1249;1.0;2.9;4.4;10.0;5.8;16.2333333333333;1.0;b;a;75.0;Non;2;https://world.openfoodfacts.org/product/3760049796384/tartines-cereales-450g-la-boulangere
Pain de mie complet – Ekmek – 600 g;975;0.12;3.8;4.2;8.0;5.0;0.0;3.0;c;a;75.0;Non;9;https://world.openfoodfacts.org/product/6111246910023/pain-de-mie-complet-ekmek
Krisprolls – Krisprolls – 425 g;1824;4.0;10.0;2.68;9.0;3.0;2.0;13.0;d;a;95.0;Non;0;https://world.openfoodfacts.org/product/7311070362664/krisprolls
Bran Flakes – Tesco – 750g;1485;0.5;10.2;2.36;10.6;15.7;0.0;0.0;a;e;25.0;Non;0;https://world.openfoodfacts.org/product/5057753158422/bran-flakes-malty-crunch-tesco
Pain de mie grandes tranches Toastiligne céréales & graines 500g – La Boulangère – 500 g;1056;0.4;3.8;4.0;11.0;5.9;0.0;1.0;b;a;80.0;Non;2;https://world.openfoodfacts.org/product/3760049795479/pain-de-mie-grandes-tranches-toastiligne-cereales-graines-500g-la-boulangere
Bran Flakes Cereal – Kellogg's – 750 g;1509;0.4;14.0;2.64;11.0;17.0;0.0;1.0;b;e;25.0;Non;0;https://world.openfoodfacts.org/product/5000127062092/bran-flakes-kellogg-s
Les Galettes Boulgour & Quinoa - Tomate & Paprika – Céréal Bio – 200 g (2 x 100 g);792;0.6;3.8;3.8;7.5;5.0;24.1166666666667;2.0;b;a;91.0;Oui;0;https://world.openfoodfacts.org/product/3175681028111/les-galettes-boulgour-quinoa-tomate-paprika-cereal-bio
